"","postcode","suburb","state","dc","type","lat","lon","Population","Area","PRent","AgeMedian","IncMedian","EduAvg","PRCrime","PSCrime"
"5325",3000,"MELBOURNE","VIC","CITY DELIVERY CENTRE","Delivery Area                                ",-37.814563,144.970267,23049,6.09686673100448,78.0231457443905,18.8507167251598,47729.6038957386,18,2922,2672
"5326",3001,"MELBOURNE","VIC","CITY MAIL PROCESSING CENTRE","Post Office Boxes                            ",-38.365017,144.76592,28213,6.62598534270905,65.8840603859323,35.18123207104,41408.0149388826,16,2416,3802
"5327",3002,"EAST MELBOURNE","VIC","CITY DELIVERY CENTRE","Delivery Area                                ",-37.81664,144.987811,27011,6.31763839012282,52.7997240137033,43.5932453899236,54281.008547103,21,1991,3335
"5328",3003,"WEST MELBOURNE","VIC","CITY DELIVERY CENTRE","Delivery Area                                ",-37.806255,144.941123,19912,5.47396773328077,85.5338767319027,32.7102121608812,47223.1937605001,17,4654,2936
"5329",3004,"MELBOURNE","VIC","CITY DELIVERY CENTRE","Delivery Area                                ",-37.837324,144.976335,25372,5.63272225201445,61.9465413123445,56.1818821569707,47418.2275146684,17,3270,5291
"5330",3005,"WORLD TRADE CENTRE","VIC","CITY DELIVERY CENTRE","Delivery Area                                ",-37.822262,144.954856,26063,5.55112473229891,42.4910756506657,24.3212417704938,47793.1444903214,19,2684,3557
"5331",3006,"SOUTHBANK","VIC","SOUTH MELBOURNE DC","Delivery Area                                ",-37.823258,144.965926,25048,5.03430727210516,50.342002736451,31.9236179468013,26829.4396214542,18,3960,5861
"5332",3008,"DOCKLANDS","VIC","CITY DELIVERY CENTRE","Delivery Area                                ",-37.814719,144.948039,22211,5.6652530491867,87.1351563790442,36.528433759721,33530.0199782754,14,3285,6797
"5333",3010,"UNIVERSITY OF MELBOURNE","VIC","CARLTON DC","Delivery Area                                ",-37.796152,144.961351,23603,3.37620310881801,48.5910386952951,25.6416626801768,37483.79207797,20,3295,4955
"5334",3011,"FOOTSCRAY","VIC","WEST FOOTSCRAY DC","Delivery Area                                ",-37.79977,144.899587,20130,5.56334955051208,64.4344973948767,28.2001351355213,49743.8185225082,18,3503,3193
